iter	Passed	Remaining
1008	3868	3799
1009	3872	3795
1010	3875	3791
1011	3879	3787
1012	3883	3783
1013	3887	3779
1014	3890	3775
1015	3894	3771
1016	3898	3767
1017	3901	3763
1018	3905	3759
1019	3909	3755
1020	3912	3751
1021	3916	3747
1022	3919	3743
1023	3923	3739
1024	3926	3735
1025	3930	3731
1026	3933	3727
1027	3937	3722
1028	3941	3718
1029	3944	3714
1030	3949	3711
1031	3952	3707
1032	3957	3704
1033	3961	3700
1034	3965	3696
1035	3968	3692
1036	3972	3688
1037	3976	3684
1038	3979	3681
1039	3983	3677
1040	3987	3672
1041	3990	3668
1042	3994	3664
1043	3998	3661
1044	4001	3657
1045	4005	3652
1046	4008	3648
1047	4012	3644
1048	4016	3640
1049	4019	3637
1050	4024	3633
1051	4028	3629
1052	4031	3625
1053	4035	3621
1054	4038	3617
1055	4042	3613
1056	4045	3609
1057	4049	3605
1058	4052	3601
1059	4056	3597
1060	4060	3593
1061	4063	3589
1062	4067	3584
1063	4070	3581
1064	4074	3577
1065	4077	3572
1066	4081	3568
1067	4084	3564
1068	4088	3560
1069	4091	3556
1070	4095	3552
1071	4098	3548
1072	4102	3544
1073	4106	3540
1074	4109	3536
1075	4113	3532
1076	4116	3528
1077	4120	3524
1078	4123	3519
1079	4127	3515
1080	4130	3511
1081	4134	3507
1082	4137	3503
1083	4144	3502
1084	4148	3498
1085	4152	3494
1086	4155	3490
1087	4159	3486
1088	4162	3482
1089	4167	3478
1090	4170	3474
1091	4174	3470
1092	4177	3466
1093	4181	3462
1094	4184	3458
1095	4188	3454
1096	4192	3450
1097	4195	3446
1098	4199	3442
1099	4202	3438
1100	4206	3434
1101	4209	3430
1102	4213	3426
1103	4216	3422
1104	4220	3418
1105	4223	3414
1106	4227	3409
1107	4230	3406
1108	4234	3402
1109	4238	3398
1110	4241	3394
1111	4245	3390
1112	4248	3386
1113	4252	3382
1114	4256	3378
1115	4259	3374
1116	4263	3370
1117	4267	3366
1118	4271	3362
1119	4274	3358
1120	4278	3354
1121	4281	3350
1122	4285	3346
1123	4288	3342
1124	4292	3338
1125	4295	3334
1126	4299	3330
1127	4302	3326
1128	4306	3322
1129	4310	3318
1130	4313	3314
1131	4317	3310
1132	4321	3306
1133	4324	3302
1134	4329	3299
1135	4332	3295
1136	4336	3291
1137	4340	3287
1138	4343	3283
1139	4347	3279
1140	4350	3275
1141	4354	3271
1142	4357	3267
1143	4361	3263
1144	4364	3259
1145	4368	3255
1146	4371	3251
1147	4375	3247
1148	4378	3243
1149	4382	3239
1150	4385	3235
1151	4389	3231
1152	4393	3227
1153	4396	3223
1154	4400	3219
1155	4403	3215
1156	4407	3211
1157	4410	3207
1158	4414	3203
1159	4418	3199
1160	4422	3195
1161	4426	3191
1162	4429	3187
1163	4432	3183
1164	4436	3179
1165	4440	3175
1166	4444	3172
1167	4448	3168
1168	4451	3164
1169	4456	3161
1170	4460	3158
1171	4464	3154
1172	4468	3150
1173	4471	3146
1174	4475	3142
1175	4479	3138
1176	4482	3134
1177	4486	3130
1178	4490	3126
1179	4493	3122
1180	4497	3119
1181	4501	3115
1182	4505	3111
1183	4508	3107
1184	4512	3103
1185	4515	3099
1186	4519	3095
1187	4523	3091
1188	4526	3087
1189	4530	3083
1190	4533	3079
1191	4537	3075
1192	4541	3071
1193	4544	3067
1194	4548	3063
1195	4551	3059
1196	4555	3056
1197	4559	3052
1198	4563	3048
1199	4566	3044
1200	4571	3041
1201	4574	3037
1202	4578	3033
1203	4582	3029
1204	4585	3025
1205	4590	3021
1206	4593	3018
1207	4598	3014
1208	4603	3011
1209	4607	3008
1210	4611	3004
1211	4615	3001
1212	4620	2997
1213	4624	2994
1214	4629	2991
1215	4634	2987
1216	4638	2984
1217	4642	2980
1218	4646	2976
1219	4650	2973
1220	4653	2969
1221	4657	2965
1222	4661	2961
1223	4664	2957
1224	4667	2953
1225	4671	2949
1226	4674	2945
1227	4678	2941
1228	4681	2937
1229	4685	2933
1230	4688	2929
1231	4692	2925
1232	4696	2921
1233	4699	2917
1234	4703	2913
1235	4707	2909
1236	4710	2905
1237	4714	2901
1238	4717	2897
1239	4721	2893
1240	4724	2889
1241	4728	2885
1242	4732	2881
1243	4735	2877
1244	4739	2873
1245	4742	2869
1246	4746	2866
1247	4750	2862
1248	4754	2858
1249	4758	2854
1250	4762	2851
1251	4766	2847
1252	4771	2844
1253	4774	2840
1254	4778	2836
1255	4781	2832
1256	4785	2828
1257	4788	2824
1258	4792	2820
1259	4795	2816
1260	4800	2813
1261	4804	2809
1262	4807	2805
1263	4811	2801
1264	4814	2797
1265	4818	2793
1266	4822	2790
1267	4827	2786
1268	4831	2783
1269	4835	2779
1270	4840	2776
1271	4844	2772
